y,x,shift,latitude,offense,address,method,longitude,severity
133801,398878,EVENING,38.87203624012480,BURGLARY,100 - 199 BLOCK OF P STREET SW,OTHERS,-77.01292264972040,1.5
143146.12,396973.96,EVENING,38.95621435905160,ROBBERY,1400  - 1599 BLOCK OF KENNEDY STREET NW,GUN,-77.03491228583050,1.2
142748,399996,EVENING,38.95263599304040,ROBBERY,300 - 399 BLOCK OF GALLOWAY STREET NE,OTHERS,-77.00003541768590,1.2
143076,398906,EVENING,38.95559101488690,THEFT/OTHER,100  - 199 BLOCK OF JEFFERSON STREET NW,OTHERS,-77.01261614126840,1.2
136855,400735,EVENING,38.89955441361670,THEFT/OTHER,700 - 799 BLOCK OF 11TH STREET NE,OTHERS,-76.99152583664070,1.2
144278,398275,EVENING,38.96642305988040,BURGLARY,6300  - 6311 BLOCK OF 5TH STREET NW,GUN,-77.01989705139470,1.5
136983,395314,EVENING,38.90069597955310,BURGLARY,2500 - 2599 BLOCK OF I STREET NW,OTHERS,-77.05401564713550,1.5
142303,397660,EVENING,38.94862365666920,THEFT/OTHER,4800  - 4817 BLOCK OF GEORGIA AVENUE NW,OTHERS,-77.02698422009250,1.2
137977,397115,EVENING,38.90965190892850,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,OTHERS,-77.03325434455320,1.2
136049.45999569,405120.34000271,EVENING,38.89227568994740,THEFT/OTHER,BENNING ROAD NE AND 43RD ROAD NE,OTHERS,-76.94097811998710,1.2
137046,405127,EVENING,38.90213333678830,ROBBERY,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,OTHERS,-76.94310331993130,1.2
141317,397725,EVENING,38.93974075671890,ASSAULT W/DANGEROUS WEAPON,900  - 999 BLOCK OF SHEPHERD STREET NW,KNIFE,-77.02623848989970,3
139306,396326,EVENING,38.92162337838890,THEFT/OTHER,2400 - 2499 BLOCK OF 18TH STREET NW,OTHERS,-77.04236546430810,1.2
132799,400530,MIDNIGHT,38.86300952739370,THEFT F/AUTO,2400 - 2499 BLOCK OF SHANNON PLACE SE,OTHERS,-76.99389019734120,1
137734,401449,MIDNIGHT,38.90746442320720,THEFT/OTHER,1640 - 1699 BLOCK OF TRINIDAD AVENUE NE,OTHERS,-76.98328304908710,1.2
136876,405355,MIDNIGHT,38.89972888692520,BURGLARY,4400 - 4499 BLOCK OF HAYES STREET NE,OTHERS,-76.93825601447520,1.5
137847,396523,MIDNIGHT,38.90847777922750,THEFT F/AUTO,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,OTHERS,-77.040085870881,1
139176.6420785870,402466.0615362410,MIDNIGHT,38.92045788556020,THEFT F/AUTO,2100 - 2199 BLOCK OF 24TH PLACE NE,OTHERS,-76.97156261109740,1
137532,399069,MIDNIGHT,38.90564738133740,ROBBERY,16 - 75 BLOCK OF M STREET NW,KNIFE,-77.01072379704890,1.2
139240,402521,MIDNIGHT,38.92103532285780,THEFT F/AUTO,2200 - 2299 BLOCK OF 25TH PLACE NE,OTHERS,-76.97091925443360,1
139240,402521,MIDNIGHT,38.92103532285780,THEFT F/AUTO,2200 - 2299 BLOCK OF 25TH PLACE NE,OTHERS,-76.97091925443360,1
140142,403459,MIDNIGHT,38.92915087434430,THEFT F/AUTO,3100 - 3199 BLOCK OF BLADENSBURG ROAD NE,OTHERS,-76.96009673856610,1
139176.6420785870,402466.0615362410,MIDNIGHT,38.92045788556020,THEFT F/AUTO,2100 - 2199 BLOCK OF 24TH PLACE NE,OTHERS,-76.97156261109740,1
139007,402835,MIDNIGHT,38.91892921607410,THEFT F/AUTO,2800 - 3099 BLOCK OF V STREET NE,OTHERS,-76.96730334318180,1
139007,402835,MIDNIGHT,38.91892921607410,THEFT F/AUTO,2800 - 3099 BLOCK OF V STREET NE,OTHERS,-76.96730334318180,1
136696,401257,MIDNIGHT,38.89812068018950,MOTOR VEHICLE THEFT,600 - 699 BLOCK OF 14TH STREET NE,OTHERS,-76.985503617389,1
